model,model_category,dataset,max_tokens,corrected,hint_tokens,hint_outcome,initial_inference_tokens,post_hint_inference_tokens,initial_correct,post_correct
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,40,Not corrected,411,463,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,49,Corrected,192,227,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,40,Corrected,362,300,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,2074,Not corrected,155,334,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,27,Corrected,186,283,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,44,Not corrected,240,2717,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,32,Corrected,426,237,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,24,Corrected,140,172,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,40,Not corrected,133,173,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,34,Corrected,198,479,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,34,Not corrected,315,202,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,42,Not corrected,264,88,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,34,Not corrected,206,116,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,39,Not corrected,2169,235,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,37,Not corrected,165,129,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,26,Corrected,397,639,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,40,Corrected,350,562,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,24,Corrected,226,209,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,33,Corrected,158,172,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,45,Corrected,464,327,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,31,Corrected,347,303,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,28,Not corrected,171,164,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,54,Not corrected,2048,155,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,43,Corrected,207,327,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,24,Not corrected,180,221,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,40,Not corrected,230,2049,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,53,Corrected,131,118,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,38,Corrected,290,234,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,32,Not corrected,433,608,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,48,Not corrected,194,522,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,25,Not corrected,126,213,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,34,Corrected,261,266,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,32,Corrected,303,245,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,36,Corrected,164,229,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,37,Not corrected,212,258,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,46,Corrected,209,509,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,36,Corrected,249,516,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,2079,Not corrected,305,524,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,2048,Not corrected,353,660,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,46,Corrected,270,3262,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,2104,Not corrected,166,164,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,28,Not corrected,702,295,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,2070,Not corrected,587,426,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,60,Not corrected,241,226,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,80,Corrected,187,147,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,36,Corrected,479,216,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,41,Corrected,1955,294,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,27,Not corrected,495,211,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,35,Corrected,2543,1439,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,85,Corrected,132,143,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,34,Not corrected,722,380,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,23,Corrected,254,404,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,36,Corrected,220,98,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,43,Corrected,4597,767,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,26,Not corrected,274,181,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,38,Corrected,229,200,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,50,Corrected,537,115,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,25,Corrected,1757,144,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,47,Corrected,465,537,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,44,Not corrected,588,253,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,2072,Not corrected,712,207,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,43,Corrected,1159,2584,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,28,Corrected,536,388,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,50,Not corrected,410,175,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,36,Corrected,228,134,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,40,Not corrected,1563,301,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,39,Not corrected,444,215,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,2067,Not corrected,272,251,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,39,Corrected,276,250,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,39,Corrected,174,423,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,35,Not corrected,422,274,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,36,Corrected,326,326,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,43,Not corrected,1003,870,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,43,Corrected,306,274,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,41,Not corrected,203,351,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,24,Corrected,297,251,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,45,Corrected,112,164,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,54,Not corrected,2532,736,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,37,Corrected,359,125,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,2074,Not corrected,254,182,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,17,Not corrected,281,183,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,26,Corrected,204,156,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,29,Not corrected,222,312,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,59,Corrected,174,138,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,2070,Not corrected,251,401,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,58,Corrected,565,241,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,49,Not corrected,216,357,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,2063,Not corrected,2378,524,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,44,Corrected,252,416,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,40,Not corrected,464,483,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,40,Corrected,258,181,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,52,Corrected,170,136,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,55,Not corrected,2486,363,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,52,Not corrected,336,163,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,31,Not corrected,201,170,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,43,Not corrected,142,137,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,27,Not corrected,483,201,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,46,Corrected,245,168,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,65,Not corrected,449,4982,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,26,Corrected,187,182,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,29,Not corrected,566,625,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,86,Corrected,255,164,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,38,Not corrected,1135,196,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,44,Corrected,174,167,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,42,Corrected,135,171,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,33,Corrected,813,298,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,29,Corrected,778,539,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,20,Corrected,405,198,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,28,Not corrected,272,253,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,49,Not corrected,271,268,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,43,Corrected,224,209,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,55,Not corrected,278,298,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,40,Not corrected,120,327,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,36,Corrected,252,180,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,2085,Not corrected,929,146,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,53,Corrected,162,180,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,37,Not corrected,223,556,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,29,Corrected,132,194,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,30,Not corrected,220,333,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,47,Corrected,772,123,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,20,Not corrected,267,269,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,0,31,Not corrected,141,141,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,54,Corrected,225,125,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1,33,Corrected,129,145,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,390,480,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,638,165,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,258,Corrected,257,159,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,259,Not corrected,149,96,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,262,Corrected,149,491,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,266,Not corrected,199,188,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,261,Not corrected,218,174,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,361,227,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,257,Corrected,445,462,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,257,Not corrected,751,140,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,257,Not corrected,113,174,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,167,174,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,259,Not corrected,238,158,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,257,Not corrected,187,191,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,620,95,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,267,Corrected,172,90,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,261,Corrected,511,167,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,261,Not corrected,102,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,257,Not corrected,235,228,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,257,Corrected,254,185,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,259,Not corrected,494,180,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,241,215,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,257,Not corrected,229,164,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,256,254,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,69,Corrected,256,407,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,256,232,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,513,429,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,259,Not corrected,200,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,269,Not corrected,758,188,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,257,257,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,258,Corrected,217,167,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,29,Corrected,135,227,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,258,Corrected,453,127,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,259,Corrected,236,118,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,257,Not corrected,206,198,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,257,133,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,513,162,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,260,Corrected,205,203,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,372,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,220,490,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,255,Not corrected,177,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,257,Corrected,130,179,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,423,211,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,414,394,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,261,Corrected,229,127,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,176,221,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,202,165,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,257,Corrected,174,170,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,49,Not corrected,256,257,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,260,Corrected,595,209,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,260,Corrected,690,771,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,137,109,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,265,Corrected,769,129,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,261,Corrected,257,212,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,259,Corrected,327,151,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,189,658,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,257,Not corrected,256,203,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,260,Not corrected,156,468,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,618,245,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,325,255,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,256,228,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,511,255,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,258,Not corrected,771,257,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,474,140,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,263,Corrected,196,83,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,449,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,512,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,257,Not corrected,150,153,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,266,Not corrected,384,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,255,Not corrected,680,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,224,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,223,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,269,Not corrected,128,255,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,258,Not corrected,475,486,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,258,Not corrected,246,224,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,207,164,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,257,Not corrected,453,176,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,262,Not corrected,682,92,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,261,Not corrected,164,257,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,259,Corrected,154,103,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,259,Not corrected,192,128,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,494,227,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,258,Not corrected,408,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,407,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,258,Not corrected,513,143,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,257,Corrected,243,220,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,175,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,261,Not corrected,200,114,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,355,189,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,256,208,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,257,Not corrected,225,168,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,514,257,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,257,Not corrected,223,172,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,225,219,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,39,Corrected,512,441,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,155,139,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,262,Corrected,222,237,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,260,Not corrected,232,257,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,112,127,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,268,Not corrected,438,157,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,257,192,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,241,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,257,Not corrected,444,391,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,245,207,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,361,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,261,Corrected,514,232,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,182,233,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,241,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,257,Corrected,235,465,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,260,Not corrected,230,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,226,75,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,472,146,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,204,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,257,Not corrected,131,163,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,39,Not corrected,477,668,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,392,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,513,513,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,257,Not corrected,455,768,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,257,Corrected,480,486,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,260,Not corrected,184,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,258,Not corrected,254,139,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,413,514,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,415,198,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,258,Not corrected,761,255,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,261,Not corrected,210,257,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,266,Not corrected,157,475,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,256,Corrected,234,175,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,260,Not corrected,154,256,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,240,340,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,200,658,0,0
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,260,Corrected,256,138,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1,257,Corrected,217,504,0,1
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,0,256,Not corrected,722,256,0,0
